common_opponents_count,p2_current_streak_count,ranking_ratio,p2_form_win_percentage,p1_current_streak_count,p1_ranking_momentum_score,ranking_diff,p1_ranking,p1_surface_specialization_score,p2_form_recent_score,p2_ranking_momentum_score,p1_common_opponents_score,p2_surface_specialization_score,p1_pts,p1_strength_of_schedule_score,match_competitiveness,p2_pts,p1_elo,p1_form_win_percentage,p2_form_losses,p2_common_opponents_score,p2_elo,p1_form_recent_score,p2_regional_comfort_win_rate,p2_ranking,elo_diff,tipo_cancha,p1_form_status,p1_current_streak_type,p2_form_status,p2_current_streak_type,actual_winner,surface_Clay,surface_Grass,surface_Hard
5,1,3.289473684210526,50.0,3,1.03,88.0,125.0,0.35,1.5,1.05,0.03,0.0,633.0,0.27,1,1301.0,1703,60.0,10.0,0.03,1745,1.66,71.4,37.0,-42,Grass,Buena,victorias,Regular,victorias,player1,False,True,False
5,1,3.289473684210526,50.0,3,1.03,88.0,125.0,0.35,1.5,1.05,0.03,0.0,633.0,0.27,1,1301.0,1703,60.0,10.0,0.03,1745,1.66,71.4,37.0,-42,Grass,Buena,victorias,Regular,victorias,player1,False,True,False
1,10,0.4620938628158845,90.0,-2,1.03,-148.0,128.0,0.0,1.88,0.99,-0.0,0.0,611.0,0.27,0,250.0,1723,60.0,2.0,-0.0,1806,1.56,70.0,276.0,-83,Grass,Buena,derrotas,Excelente,victorias,player1,False,True,False
1,10,0.4620938628158845,90.0,-2,1.03,-148.0,128.0,0.0,1.88,0.99,-0.0,0.0,611.0,0.27,0,250.0,1723,60.0,2.0,-0.0,1806,1.56,70.0,276.0,-83,Grass,Buena,derrotas,Excelente,victorias,player1,False,True,False
5,1,0.26717557251908397,65.0,1,1.05,-95.0,35.0,0.0,1.59,1.03,0.0,0.0,1340.0,0.27,1,591.0,1831,55.0,7.0,0.0,1744,1.59,50.0,130.0,87,Grass,Regular,victorias,Buena,victorias,player1,False,True,False
5,1,0.26717557251908397,65.0,1,1.05,-95.0,35.0,0.0,1.59,1.03,0.0,0.0,1340.0,0.27,1,591.0,1831,55.0,7.0,0.0,1744,1.59,50.0,130.0,87,Grass,Regular,victorias,Buena,victorias,player1,False,True,False
1,1,1.5724637681159421,70.0,1,1.01,80.0,217.0,0.41,1.67,1.02,-0.0,0.0,334.0,0.27,1,551.0,1696,65.0,6.0,-0.0,1743,1.64,76.2,137.0,-47,Grass,Buena,victorias,Buena,victorias,player2,False,True,False
1,1,1.5724637681159421,70.0,1,1.01,80.0,217.0,0.41,1.67,1.02,-0.0,0.0,334.0,0.27,1,551.0,1696,65.0,6.0,-0.0,1743,1.64,76.2,137.0,-47,Grass,Buena,victorias,Buena,victorias,player2,False,True,False
1,1,1.1768707482993197,75.0,3,1.01,27.0,173.0,0.49,1.77,0.97,-0.0,0.0,428.0,0.27,2,524.0,1766,65.0,5.0,-0.0,1767,1.74,78.3,146.0,-1,Grass,Buena,victorias,Excelente,victorias,player1,False,True,False
1,1,1.1768707482993197,75.0,3,1.01,27.0,173.0,0.49,1.77,0.97,-0.0,0.0,428.0,0.27,2,524.0,1766,65.0,5.0,-0.0,1767,1.74,78.3,146.0,-1,Grass,Buena,victorias,Excelente,victorias,player1,False,True,False
5,3,0.3422818791946309,60.0,1,1.05,-97.0,51.0,0.0,1.64,1.02,0.02,0.46,1111.0,0.27,1,497.0,1636,35.0,8.0,0.0,1763,1.43,66.7,148.0,-127,Grass,Mala,victorias,Buena,victorias,player2,False,True,False
5,3,0.3422818791946309,60.0,1,1.05,-97.0,51.0,0.0,1.64,1.02,0.02,0.46,1111.0,0.27,1,497.0,1636,35.0,8.0,0.0,1763,1.43,66.7,148.0,-127,Grass,Mala,victorias,Buena,victorias,player2,False,True,False
7,1,0.3127962085308057,45.0,1,1.04,-144.0,66.0,0.0,1.45,1.01,0.07,0.41,980.0,0.27,0,348.0,1772,55.0,11.0,0.04,1618,1.5,60.0,210.0,154,Grass,Regular,victorias,Regular,victorias,player1,False,True,False
7,1,0.3127962085308057,45.0,1,1.04,-144.0,66.0,0.0,1.45,1.01,0.07,0.41,980.0,0.27,0,348.0,1772,55.0,11.0,0.04,1618,1.5,60.0,210.0,154,Grass,Regular,victorias,Regular,victorias,player1,False,True,False
6,3,0.8875,80.0,3,0.93,-71.0,568.0,0.44,1.42,0.92,0.17,0.42,69.0,0.0,1,55.0,1749,90.0,4.0,0.17,1707,1.49,0.0,639.0,42,Hard,Excelente,victorias,Excelente,victorias,player2,False,False,True
