p1_rivalry_score,p2_common_opponents_score,p1_elo,p1_form_win_percentage,ranking_diff,match_competitiveness,p2_elo,p1_ranking,p1_surface_specialization_score,p2_form_wins,p2_form_losses,p2_surface_specialization_score,p2_form_win_percentage,ranking_ratio,p2_pts,p1_form_recent_score,p2_ranking,common_opponents_count,p1_pts,elo_diff,p2_form_recent_score,p2_strength_of_schedule_score,p1_form_wins,p1_strength_of_schedule_score,p1_current_streak_count,p1_form_losses,tipo_cancha,p1_form_status,p1_current_streak_type,p2_form_status,p2_current_streak_type,actual_winner,surface_Clay,surface_Grass,surface_Hard
7.5113,0.4,1632,50.0,4.0,3,1590,81.0,0.52,9.0,11.0,0.52,45.0,1.0384615384615385,161.0,1.22,77.0,7,159.0,42,1.2,0.12,10.0,0.12,-1,10.0,Clay,Regular,derrotas,Regular,derrotas,player2,True,False,False
4.5,0.0,1854,80.0,74.0,1,1704,202.0,0.0,9.0,11.0,0.0,45.0,1.565891472868217,144.0,1.88,128.0,3,132.0,150,1.44,0.27,16.0,0.27,5,4.0,Grass,Excelente,victorias,Regular,derrotas,player2,False,True,False
17.7285,0.08,1719,45.0,102.0,0,1757,154.0,0.54,8.0,12.0,0.39,40.0,2.9056603773584904,176.0,1.4,52.0,11,139.0,-38,1.37,0.27,9.0,0.27,1,11.0,Grass,Regular,victorias,Regular,victorias,player2,False,True,False
0.0,-0.0,1483,0.0,-101.0,0,1688,96.0,0.0,12.0,8.0,0.42,60.0,0.48484848484848486,132.0,0.0,197.0,0,153.0,-205,1.58,0.17,0.0,0.0,-1,1.0,Grass,Mala,derrotas,Buena,derrotas,player2,False,True,False
0.0,-0.0,1757,70.0,-119.0,0,1942,81.0,0.0,13.0,7.0,0.0,65.0,0.40298507462686567,132.0,1.69,200.0,1,159.0,-185,1.74,0.27,14.0,0.23,-1,6.0,Grass,Buena,derrotas,Buena,derrotas,player2,False,True,False
24.551,0.05,1801,60.0,0.0,3,1802,62.0,0.0,11.0,9.0,0.47,55.0,0.9841269841269841,169.0,1.49,62.0,9,169.0,-1,1.46,0.27,12.0,0.27,-1,8.0,Grass,Buena,derrotas,Regular,derrotas,player1,False,True,False
0.0,0.0,1622,50.0,-92.0,1,1486,62.0,0.49,2.0,4.0,0.5,33.3,0.4,139.0,1.29,154.0,0,169.0,136,1.18,0.0,10.0,0.21,-1,10.0,Clay,Regular,derrotas,Mala,derrotas,player1,True,False,False
7.5113,0.4,1632,50.0,4.0,3,1590,81.0,0.52,9.0,11.0,0.52,45.0,1.0384615384615385,161.0,1.22,77.0,7,159.0,42,1.2,0.12,10.0,0.12,-1,10.0,Clay,Regular,derrotas,Regular,derrotas,player2,True,False,False
0.0,-0.0,1483,0.0,-101.0,0,1688,96.0,0.0,12.0,8.0,0.42,60.0,0.48484848484848486,132.0,0.0,197.0,0,153.0,-205,1.58,0.17,0.0,0.0,-1,1.0,Grass,Mala,derrotas,Buena,derrotas,player2,False,True,False
5.0421,0.24,1747,70.0,0.0,3,1675,98.0,0.56,12.0,8.0,0.52,60.0,0.98989898989899,152.0,1.45,98.0,3,152.0,72,1.32,0.12,14.0,0.13,1,6.0,Clay,Buena,victorias,Buena,victorias,player2,True,False,False
