p1_common_opponents_score,p1_strength_of_schedule_score,match_competitiveness,p2_ranking_momentum_score,p2_ranking,p1_surface_specialization_score,p2_surface_specialization_score,ranking_diff,p2_current_streak_count,common_opponents_count,p1_ranking,p2_regional_comfort_win_rate,p2_form_recent_score,p2_pts,ranking_ratio,elo_diff,p2_form_win_percentage,p2_elo,p1_pts,p2_common_opponents_score,p2_form_losses,p1_ranking_momentum_score,p1_current_streak_count,p1_elo,p1_form_win_percentage,p1_form_recent_score,tipo_cancha,p1_form_status,p1_current_streak_type,p2_form_status,p2_current_streak_type,actual_winner,surface_Clay,surface_Grass,surface_Hard
0.03,0.27,1,1.05,37.0,0.35,0.0,88.0,1,5,125.0,71.4,1.5,1301.0,3.289473684210526,-42,50.0,1745,633.0,0.03,10.0,1.03,3,1703,60.0,1.66,Grass,Buena,victorias,Regular,victorias,player1,False,True,False
0.03,0.27,1,1.05,37.0,0.35,0.0,88.0,1,5,125.0,71.4,1.5,1301.0,3.289473684210526,-42,50.0,1745,633.0,0.03,10.0,1.03,3,1703,60.0,1.66,Grass,Buena,victorias,Regular,victorias,player1,False,True,False
-0.0,0.27,0,0.99,276.0,0.0,0.0,-148.0,10,1,128.0,70.0,1.88,250.0,0.4620938628158845,-83,90.0,1806,611.0,-0.0,2.0,1.03,-2,1723,60.0,1.56,Grass,Buena,derrotas,Excelente,victorias,player1,False,True,False
-0.0,0.27,0,0.99,276.0,0.0,0.0,-148.0,10,1,128.0,70.0,1.88,250.0,0.4620938628158845,-83,90.0,1806,611.0,-0.0,2.0,1.03,-2,1723,60.0,1.56,Grass,Buena,derrotas,Excelente,victorias,player1,False,True,False
0.0,0.27,1,1.03,130.0,0.0,0.0,-95.0,1,5,35.0,50.0,1.59,591.0,0.26717557251908397,87,65.0,1744,1340.0,0.0,7.0,1.05,1,1831,55.0,1.59,Grass,Regular,victorias,Buena,victorias,player1,False,True,False
0.0,0.27,1,1.03,130.0,0.0,0.0,-95.0,1,5,35.0,50.0,1.59,591.0,0.26717557251908397,87,65.0,1744,1340.0,0.0,7.0,1.05,1,1831,55.0,1.59,Grass,Regular,victorias,Buena,victorias,player1,False,True,False
-0.0,0.27,1,1.02,137.0,0.41,0.0,80.0,1,1,217.0,76.2,1.67,551.0,1.5724637681159421,-47,70.0,1743,334.0,-0.0,6.0,1.01,1,1696,65.0,1.64,Grass,Buena,victorias,Buena,victorias,player2,False,True,False
-0.0,0.27,1,1.02,137.0,0.41,0.0,80.0,1,1,217.0,76.2,1.67,551.0,1.5724637681159421,-47,70.0,1743,334.0,-0.0,6.0,1.01,1,1696,65.0,1.64,Grass,Buena,victorias,Buena,victorias,player2,False,True,False
-0.0,0.27,2,0.97,146.0,0.49,0.0,27.0,1,1,173.0,78.3,1.77,524.0,1.1768707482993197,-1,75.0,1767,428.0,-0.0,5.0,1.01,3,1766,65.0,1.74,Grass,Buena,victorias,Excelente,victorias,player1,False,True,False
-0.0,0.27,2,0.97,146.0,0.49,0.0,27.0,1,1,173.0,78.3,1.77,524.0,1.1768707482993197,-1,75.0,1767,428.0,-0.0,5.0,1.01,3,1766,65.0,1.74,Grass,Buena,victorias,Excelente,victorias,player1,False,True,False
0.02,0.27,1,1.02,148.0,0.0,0.46,-97.0,3,5,51.0,66.7,1.64,497.0,0.3422818791946309,-127,60.0,1763,1111.0,0.0,8.0,1.05,1,1636,35.0,1.43,Grass,Mala,victorias,Buena,victorias,player2,False,True,False
0.02,0.27,1,1.02,148.0,0.0,0.46,-97.0,3,5,51.0,66.7,1.64,497.0,0.3422818791946309,-127,60.0,1763,1111.0,0.0,8.0,1.05,1,1636,35.0,1.43,Grass,Mala,victorias,Buena,victorias,player2,False,True,False
0.07,0.27,0,1.01,210.0,0.0,0.41,-144.0,1,7,66.0,60.0,1.45,348.0,0.3127962085308057,154,45.0,1618,980.0,0.04,11.0,1.04,1,1772,55.0,1.5,Grass,Regular,victorias,Regular,victorias,player1,False,True,False
0.07,0.27,0,1.01,210.0,0.0,0.41,-144.0,1,7,66.0,60.0,1.45,348.0,0.3127962085308057,154,45.0,1618,980.0,0.04,11.0,1.04,1,1772,55.0,1.5,Grass,Regular,victorias,Regular,victorias,player1,False,True,False
0.17,0.0,1,0.92,639.0,0.44,0.42,-71.0,3,6,568.0,0.0,1.42,55.0,0.8875,42,80.0,1707,69.0,0.17,4.0,0.93,3,1749,90.0,1.49,Hard,Excelente,victorias,Excelente,victorias,player2,False,False,True
