p2_ranking,p1_current_streak_count,p1_form_recent_score,p1_pts,p1_elo,p1_ranking_momentum_score,p2_elo,p2_ranking_momentum_score,p2_pts,p1_strength_of_schedule_score,p2_current_streak_count,match_competitiveness,p2_common_opponents_score,p2_surface_specialization_score,p2_form_losses,p1_surface_specialization_score,ranking_diff,p1_common_opponents_score,p1_form_win_percentage,ranking_ratio,p1_ranking,elo_diff,common_opponents_count,p2_form_recent_score,p2_form_win_percentage,p2_regional_comfort_win_rate,tipo_cancha,p1_form_status,p1_current_streak_type,p2_form_status,p2_current_streak_type,actual_winner,surface_Clay,surface_Grass,surface_Hard
371.0,-1,1.3,67.0,1644,0.6,1672,0.63,131.0,0.23,-1,0,0.34,0.53,9.0,0.52,208.0,0.29,60.0,1.5564516129032258,579.0,-28,4,1.27,55.0,53.96762029415685,Clay,Buena,derrotas,Regular,derrotas,player2,True,False,False
620.0,-1,1.19,125.0,1695,0.63,1577,0.6,58.0,0.23,-4,0,0.34,0.48,10.0,0.56,-233.0,0.59,55.0,0.6231884057971014,387.0,118,12,1.13,50.0,28.816890493998127,Clay,Regular,derrotas,Regular,derrotas,player1,True,False,False
2215.0,-2,1.23,10.0,1464,0.48,1503,0.32,1.0,0.0,-1,0,0.0,0.33,9.0,0.2,-1031.0,0.0,40.0,0.5342960288808665,1184.0,-39,0,1.2,30.8,30.52678169703232,Clay,Regular,derrotas,Mala,derrotas,player2,True,False,False
1081.0,-2,1.06,8.0,1467,0.46,1418,0.5,14.0,0.21,-3,0,0.53,0.38,16.0,0.38,181.0,0.48,30.0,1.1663585951940851,1262.0,49,11,0.92,20.0,40.997102525759125,Clay,Mala,derrotas,Mala,derrotas,player2,True,False,False
775.0,1,1.3,1.0,1552,0.35,1550,0.58,38.0,0.0,1,0,0.0,0.44,11.0,0.42,1342.0,0.0,45.5,2.7280927835051547,2117.0,2,1,1.29,45.0,45.12364354449943,Clay,Regular,victorias,Regular,victorias,player2,True,False,False
285.0,7,1.54,193.0,1842,0.64,1710,0.7,187.0,0.12,-1,2,0.24,0.52,6.0,0.59,-16.0,0.24,85.0,0.9405594405594405,269.0,132,4,1.34,70.0,52.006194171710156,Clay,Excelente,victorias,Buena,derrotas,player1,True,False,False
831.0,-1,1.21,13.0,1555,0.49,1556,0.53,32.0,0.14,-3,0,0.51,0.44,10.0,0.31,267.0,0.0,45.0,1.3197115384615385,1098.0,-1,6,1.24,50.0,45.61126861699631,Clay,Regular,derrotas,Regular,derrotas,player2,True,False,False
775.0,1,1.32,1.0,1552,0.35,1550,0.58,38.0,0.0,1,0,0.0,0.44,11.0,0.42,1342.0,0.0,45.5,2.7280927835051547,2117.0,2,1,1.27,45.0,45.123336892097576,Clay,Regular,victorias,Regular,victorias,player2,True,False,False
113.0,-1,1.39,1328.0,1769,1.15,1657,1.03,697.0,0.27,2,1,0.09,0.52,11.0,0.44,-77.0,0.13,45.0,0.3157894736842105,36.0,112,12,1.44,45.0,45.43141360185627,Grass,Regular,derrotas,Regular,victorias,player2,False,True,False
120.0,-1,1.51,1631.0,1822,1.15,1782,1.03,668.0,0.27,2,1,0.0,0.0,5.0,0.0,-94.0,0.02,60.0,0.21487603305785125,26.0,40,5,1.69,75.0,38.96904655360048,Grass,Buena,derrotas,Excelente,victorias,player1,False,True,False
